7tm_1	255,255,255
7tm_2	255,255,255
7tm_3	255,255,255
AAA	57,194,204
ABC_tran	129,201,63
ATP-synt_ab	187,135,93
Cys_knot	255,255,255
EGF	255,255,255
GTP_EFTU	196,118,83
HLH	222,56,154
HSP20	148,223,75
HSP70	60,173,201
KH_1	80,187,102
Kunitz_BPTI	255,255,255
MCPsignal	104,174,223
RuBisCO_large	255,255,255
SH2	255,255,255
SH3_1	255,255,255
TGF_beta	255,255,255
TNFR_c6	255,255,255
UPAR_LY6	255,255,255
Actin	255,255,255
Ank	73,121,210
PAN_1	255,255,255
Arf	77,197,154
Asp	210,100,210
cNMP_binding	138,95,204
Cadherin	255,255,255
Connexin	255,255,255
Crystall	255,255,255
Cystatin	255,255,255
Cytochrom_B_C	255,255,255
Cytochrome_B	255,255,255
Cytochrom_C	130,184,61
dsrm	223,106,84
EF-hand_1	255,255,255
Fer4	226,193,80
Filament	255,255,255
fn1	255,255,255
fn2	255,255,255
fn3	203,70,135
Globin	214,76,178
GST_C	102,108,211
Gp_dh_N	212,98,148
Hemopexin	255,255,255
Homeodomain	60,206,85
ig	255,255,255
IL8	255,255,255
Insulin	255,255,255
Kazal_1	255,255,255
Kringle	255,255,255
Laminin_B	255,255,255
Laminin_EGF	255,255,255
Laminin_G_1	255,255,255
Laminin_N	255,255,255
Ldh_1_N	205,51,142
Ldl_recept_a	255,255,255
Ldl_recept_b	255,255,255
Lectin_C	255,255,255
Lig_chan	255,255,255
Lipocalin	255,255,255
Lys	255,255,255
Myosin_head	255,255,255
Neur	255,255,255
Notch	255,255,255
p450_c1	85,216,107
p450_c2	85,216,107
p450_c3	85,216,107
p450_c4	85,216,107
p450_c5	85,216,107
p450_c6	85,216,107
p450_c7	85,216,107
p450_c8	85,216,107
p450_c9	85,216,107
p450_c10	85,216,107
p450_c11	85,216,107
p450_c12	85,216,107
p450_c13	85,216,107
p450_c14	85,216,107
p450_c15	85,216,107
p450_c16	85,216,107
p450_c17	85,216,107
p450_c18	85,216,107
p450_c19	85,216,107
p450_c20	85,216,107
p450_c21	85,216,107
p450_c22	85,216,107
p450_c23	85,216,107
